unique_id,sia_sample_id,sample_year,stream_name,site_id,sample_hitch,compartment,resource,taxon_code,length_mm,d13C,d13C_scl,d15N,d15N_scl,CN
2016-LR02-CKC-017,2015_F050,2016,Laramie,LR02,H3,fish,fish,CKC,96,-27.8005398,0.31000951,9.035129,0.576145137,3.648128155
2016-LR02-CKC-062,2015_F052,2017,Laramie,LR02,H3,fish,fish,CKC,68,-25.1433922,0.450683887,10.259005,0.644510268,3.603666329
2016-LR02-CKC-09,2015_F054,2017,Laramie,LR02,H3,fish,fish,CKC,85,-26.5569146,0.37584936,10.550613,0.660799352,3.583636907
2015-LR02-CKC-02,2015_F063,2015,Laramie,LR02,H3,fish,fish,CKC,80,-26.2617475,0.39147606,8.837568,0.565109473,3.429174883
2015-LR02-CKC-07,2015_F064,2015,Laramie,LR02,H3,fish,fish,CKC,63,-25.498313,0.431893714,8.5623755,0.549737351,3.602917666
2016-LR02-CKC-01,FH1035,2016,Laramie,LR02,H3,fish,fish,CKC,121,-25.1370715,0.451018517,10.55325,0.660946653,3.284977876
2016-LR02-CKC-02,FH1043,2016,Laramie,LR02,H3,fish,fish,CKC,85,-26.9969496,0.352553082,8.99553,0.573933155,3.304466952
2016-LR02-CKC-04,FH1042,2016,Laramie,LR02,H3,fish,fish,CKC,81,-27.0141587,0.351642,8.77348,0.561529548,3.301306206
2016-LR02-CKC-05,FH1008,2016,Laramie,LR02,H3,fish,fish,CKC,80,-26.8167602,0.362092647,9.02598,0.575634078,3.283174848
2016-LR02-CKC-06,FH1024,2016,Laramie,LR02,H3,fish,fish,CKC,81,-26.681112,0.369274117,9.18354,0.584435304,3.28369018
2016-LR02-CKC-055,FH10999,2016,Laramie,LR02,H3,fish,fish,CKC,85,-27.37483,0.332547385,9.83626,0.620895933,3.25526
2016-LR02-CKC-066,FH10998,2016,Laramie,LR02,H3,fish,fish,CKC,82,-27.736353,0.313407679,9.4775638,0.600859334,3.439237
2016-LR02-CKC-03,FH1099,2016,Laramie,LR02,H3,fish,fish,CKC,84,-26.5933888,0.373918348,8.6546308,0.554890688,3.292283964
2017-LR02-CKC-69,FSH-0319,2017,Laramie,LR02,H3,fish,fish,CKC,51,-27.5792673,0.321724091,9.0310614,0.575917922,3.967194904
2017-LR02-CKC-70,FSH-0320,2017,Laramie,LR02,H3,fish,fish,CKC,58,-27.7487912,0.312749178,8.9679165,0.572390678,3.704543082
2017-LR02-CKC-71,FSH-0321,2017,Laramie,LR02,H3,fish,fish,CKC,55,-26.2952993,0.389699765,7.3151238,0.480066465,3.963132693
2015-LR02-LND-05,2015_F049,2015,Laramie,LR02,H3,fish,fish,LND,55,-26.0630926,0.401993223,8.443721,0.543109367,3.759768509
2015-LR02-LND-01,2015_F051,2015,Laramie,LR02,H3,fish,fish,LND,74,-25.9935544,0.405674706,8.223941,0.530832561,3.716177891
2015-LR02-LND-06,2015_F060,2015,Laramie,LR02,H3,fish,fish,LND,52,-25.6517958,0.423768047,8.403761,0.540877221,4.677194738
2016-LR02-LND-37,FH1040,2016,Laramie,LR02,H3,fish,fish,LND,101,-26.4330985,0.382404417,9.13304,0.581614398,3.275773432
2016-LR02-LND-36,FH981,2016,Laramie,LR02,H3,fish,fish,LND,98,-27.1558807,0.344138972,8.8462,0.565591653,3.273243922
2016-LR02-LND-34,FH986,2016,Laramie,LR02,H3,fish,fish,LND,82,-26.3430038,0.387174199,8.13819,0.526042551,3.238039376
2016-LR02-LND-30,FH1002,2016,Laramie,LR02,H3,fish,fish,LND,77,-26.6487184,0.370989095,8.73611,0.559442078,3.210814696
2016-LR02-LND-44,FH1038,2016,Laramie,LR02,H3,fish,fish,LND,67,-26.479352,0.37995567,8.5518284,0.549148195,3.326442199
2016-LR02-LND-45,FH972,2016,Laramie,LR02,H3,fish,fish,LND,60,-26.2886132,0.39005374,7.561118,0.493807584,3.29329032
2016-LR02-LND-46,FH1025,2016,Laramie,LR02,H3,fish,fish,LND,68,-25.5599708,0.428629435,8.2172639,0.530459581,3.28423001
2016-LR02-LND-47,FH995,2016,Laramie,LR02,H3,fish,fish,LND,62,-27.0878996,0.347738018,8.3021534,0.535201468,3.494303427
2016-LR02-LND-31,FH973,2016,Laramie,LR02,H3,fish,fish,LND,48,-27.6746728,0.316673145,7.83848472,0.509301157,3.2393728
2016-LR02-LND-43,FH973a,2016,Laramie,LR02,H3,fish,fish,LND,47,-28.4472772,0.275770019,8.1193828,0.52499199,3.1837272
2016-LR02-LND-33,FH980,2016,Laramie,LR02,H3,fish,fish,LND,71,-26.514674,0.378085657,8.8005047,0.563039135,3.27659521
2016-LR02-LND-32,FH996,2016,Laramie,LR02,H3,fish,fish,LND,48,-26.3471468,0.386954861,8.1413627,0.526219776,3.367341041
2016-LR02-LND-35,FH969,2016,Laramie,LR02,H3,fish,fish,LND,87,-26.3037512,0.389252305,8.1423614,0.526275563,3.264873668
2016-LR02-LND-39,FH979,2016,Laramie,LR02,H3,fish,fish,LND,72,-25.8263996,0.414524194,7.7728424,0.505634408,3.327930383
2016-LR02-LND-40,FH978,2016,Laramie,LR02,H3,fish,fish,LND,69,-26.9849612,0.35318777,8.0894303,0.523318857,3.30501924
2016-LR02-LND-41,FH1026,2016,Laramie,LR02,H3,fish,fish,LND,72,-26.0544788,0.402449254,7.830767,0.508870048,3.310364846
2016-LR02-LND-42,FH1037,2016,Laramie,LR02,H3,fish,fish,LND,57,-26.028272,0.403836691,7.692993,0.501174058,3.194737
2016-LR02-LND-38,FH1017,2016,Laramie,LR02,H3,fish,fish,LND,65,-26.330092,0.387857774,8.1830656,0.528549281,3.278300646
2016-LR02-LND-43,FH2027,2016,Laramie,LR02,H3,fish,fish,LND,58,-28.233728,0.287075714,7.37,0.483131823,3.12
2016-LR02-LND-401,FH2028,2016,Laramie,LR02,H3,fish,fish,LND,69,-27.0029473,0.352235553,7.54,0.492627942,3.22
2016-LR02-LND-391,FH2029,2016,Laramie,LR02,H3,fish,fish,LND,68,-26.8,0.362979963,7.63,0.497655299,3.42
2017-LR02-LND-21,F-17-207,2017,Laramie,LR02,H3,fish,fish,LND,77,-26.4086496,0.383698787,8.6251299,0.553242782,3.371762912
2017-LR02-LND-24,F-17-210,2017,Laramie,LR02,H3,fish,fish,LND,84,-26.7476974,0.365748961,8.5549689,0.549323622,3.366517614
2017-LR02-LND-25,F-17-211,2017,Laramie,LR02,H3,fish,fish,LND,54,-26.7256292,0.366917293,7.7461128,0.504141305,3.460469102
2017-LR02-LND-26,F-17-212,2017,Laramie,LR02,H3,fish,fish,LND,60,-27.3335078,0.33473506,8.0417913,0.520657765,3.758229955
2017-LR02-LND-29,F-17-215,2017,Laramie,LR02,H3,fish,fish,LND,73,-26.4999317,0.378866142,8.1269868,0.525416745,3.49862971
2017-LR02-LND-30,F-17-216,2017,Laramie,LR02,H3,fish,fish,LND,89,-26.9904476,0.35289731,9.0561189,0.577317622,3.503777943
2017-LR02-LND-31,F-17-217,2017,Laramie,LR02,H3,fish,fish,LND,74,-26.7657532,0.364793053,8.4226653,0.541933206,3.466218571
2017-LR02-LND-32,F-17-218,2017,Laramie,LR02,H3,fish,fish,LND,77,-25.6332533,0.424749722,8.3705457,0.53902183,3.373530605
2017-LR02-LND-33,F-17-219,2017,Laramie,LR02,H3,fish,fish,LND,76,-26.8781004,0.358845182,8.5960632,0.55161913,3.44168776
2017-LR02-LND-34,F-17-220,2017,Laramie,LR02,H3,fish,fish,LND,75,-27.3746728,0.332555707,7.616489,0.496900581,3.68486
2017-LR02-LND-35,F-17-221,2017,Laramie,LR02,H3,fish,fish,LND,70,-27.6472772,0.318123519,7.4316546,0.48657582,3.7854
2017-LR02-LND-36,F-17-222,2017,Laramie,LR02,H3,fish,fish,LND,70,-24.869468,0.465185948,8.365165,0.538721266,3.6451
2017-LR02-LND-27,F-17-213,2017,Laramie,LR02,H3,fish,fish,LND,64,-28.3984984,0.27835246,7.89384981,0.512393824,3.5222669
2017-LR02-LND-28,F-17-214,2017,Laramie,LR02,H3,fish,fish,LND,36,-28.495165,0.273234749,8.35116,0.537938954,3.714114
2016-LR02-LNS-03,2015_F053,2015,Laramie,LR02,H3,fish,fish,LNS,80,-26.19713,0.394897032,6.736029,0.447718505,3.569995841
2016-LR02-LNS-06,2015_F055,2015,Laramie,LR02,H3,fish,fish,LNS,74,-26.5236572,0.377610069,6.645519,0.442662659,3.625536109
2016-LR02-LNS-05,2015_F056,2015,Laramie,LR02,H3,fish,fish,LNS,270,-26.5579224,0.375796005,7.244921,0.47614497,3.589746832
2016-LR02-LNS-04,2015_F058,2017,Laramie,LR02,H3,fish,fish,LNS,89,-27.2492732,0.339194597,6.696468,0.445508646,3.626571033
2017-LR02-LNS-10,F-17-196,2017,Laramie,LR02,H3,fish,fish,LNS,134,-26.1378126,0.398037406,6.8249991,0.452688332,3.545431932
2017-LR02-LNS-72,FSH-0322,2017,Laramie,LR02,H3,fish,fish,LNS,154,-26.351745,0.386711424,6.4777918,0.433293497,3.454804594
2017-LR02-LNS-73,FSH-0323,2017,Laramie,LR02,H3,fish,fish,LNS,186,-25.9983817,0.405419139,6.7628565,0.449217076,3.520160482
2016-LR02-WHS-03,2015_F007,2015,Laramie,LR02,H3,fish,fish,WHS,179,-26.9872452,0.353066851,7.880284,0.511636044,3.36163297
2016-LR02-WHS-01,2015_F048,2015,Laramie,LR02,H3,fish,fish,WHS,80,-25.4977168,0.431925278,7.350815,0.482060158,3.391621265
2016-LR02-WHS-49,2016_F462,2016,Laramie,LR02,H3,fish,fish,WHS,95,-25.8793704,0.411719821,6.56451,0.438137535,3.26051776
2016-LR02-WHS-50,2016_F464,2016,Laramie,LR02,H3,fish,fish,WHS,220,-26.5049718,0.378599309,6.73217,0.447502943,3.213900842
2016-LR02-WHS-48,2016_F460,2016,Laramie,LR02,H3,fish,fish,WHS,116,-26.225577,0.393390994,6.67965,0.4445692,3.22775648
2016-LR02-WHS-02,2015_F089,2016,Laramie,LR02,H3,fish,fish,WHS,81,-27.3,0.336509026,6.55,0.437327013,3.1
2017-LR03-BKT-02,F-17-261,2017,Laramie,LR03,H3,fish,fish,BKT,NA,-28.397734,0.278392929,10.3861304,0.651611432,3.294833988
2017-LR03-BKT-03,F-17-262,2017,Laramie,LR03,H3,fish,fish,BKT,NA,-28.2642951,0.285457434,10.2972372,0.6466459,3.27868891
2016-LR03-BNT-1,FH2000,2016,Laramie,LR03,H3,fish,fish,BNT,315,-26.41,0.383627295,10.7,0.669144038,3.65
2016-LR03-BNT-2,FH2001,2016,Laramie,LR03,H3,fish,fish,BNT,215,-25.97,0.40692172,10.8,0.674729991,3.44
2016-LR03-BNT-3,FH2002,2016,Laramie,LR03,H3,fish,fish,BNT,111,-26.11,0.399509857,10.6,0.663558086,3.92
2016-LR03-BNT-4,FH2003,2016,Laramie,LR03,H3,fish,fish,BNT,118,-26.45,0.38150962,9.4,0.596526657,3.12
